stop_name	stop_lat	stop_lon
Weigla(Szpital)	51.0773993700	17.0191201400
Adamczewskich	51.1208439600	16.8695348600
Wojanowska(Olbrachtowska)	51.1530080000	16.9047590000
MaśliceMałe	51.1533120800	16.9395463900
EPI	51.0978894400	17.0295311300
Kolejowa	51.1056127700	17.0149223500
Zbożowa	51.1735297900	16.9121521600
Niedziałkowskiego	51.1087563000	17.1396307100
Żerniki	51.1230927200	16.9248345000
Pułaskiego	51.0982992200	17.0429557600
Rynek	51.1112028100	17.0270362800
Azaliowa	51.1639965000	17.1118338900
Ozorzyce-Krasińskiego	50.9993410000	17.0833650000
Sudecka	51.0844339100	17.0180651400
Redycka	51.1486843000	17.0755699000
Spółdzielcza	51.1021114100	17.1023814200
PL.DANIŁOWSKIEGO	51.1385229200	17.0590853700
Poznańska	51.1219902600	17.0124829500
DWORZECAUTOBUSOWY	51.0971226700	17.0326441800
Jordanowska	51.0796664900	16.9574772400
Klimasa	51.0801615700	17.0624714800
Palacha	51.1404994500	17.1263193500
Zacisze	51.1243518300	17.0778218200
Dzielna	51.1386343100	16.9768901400
Stanisławowska(W.K.Formaty)	51.0968383300	16.9468478100
UniwersytetEkonomiczny	51.0898889600	17.0286671900
Kątna	51.1326714700	17.2835237400
LasOsobowicki	51.1479741600	16.9838305100
KOZANÓW	51.1378201300	16.9679529700
Siechnice-Elektrociepłownia	51.0378740000	17.1441960000
Bacciarellego	51.1056363100	17.1104913100
Eluarda	51.1462280000	16.8674081100
Bąków	51.2119353200	17.1594618000
Krucza	51.0944236000	17.0107815500
MostyWarszawskie	51.1283829800	17.0538427900
Okrzei	51.1063521600	17.0992530800
PL.JANAPAWŁAII	51.1121544100	17.0207247200
RadioiTelewizja	51.0717340500	17.0059545500
AlejaWędrowców	51.0879861000	16.9918824300
BARDZKA	51.0832163600	17.0480013100
Wschowska	51.1447810300	16.8817250400
Siechnice-Elektrociepłownia	51.0379640000	17.1446530000
Paprotna	51.1481809800	17.0206268600
Arkady(Capitol)	51.1020390600	17.0298365300
Kośnego	51.1204467700	16.8631401000
Długołęka-Parkowa/skrzy.	51.1788996000	17.1904349000
Raków-osiedle	51.1664480100	17.2686538700
Łozina-NowegoOsiedlaI	51.2335288100	17.1718061300
Pomorska	51.1178954300	17.0308934600
Przystankowa	51.0700097100	17.0321837600
Kiełczów-Sosnowa	51.1436487600	17.1586585100
Iwiny-Słoneczna	51.0437400000	17.0783200000
Braterska	51.0676164600	16.9995540000
Ślęza(ul.Pszenna-autostrada)	51.0428572700	16.9912595800
Serbska(C.K.Agora)	51.1337895900	17.0194298200
Łozina-Wrocławska(nawys.nr18)	51.2304029100	17.1727172300
Partyzantów	51.1062614300	17.0939924100
Zagony	51.1008794200	16.9422415200
Buforowa	51.0704560800	17.0539575000
Małopanewska	51.1238940800	16.9874667700
Dmowskiego	51.1164495600	17.0247823500
Kolista	51.1327370900	16.9738810400
Bałtycka	51.1377841200	17.0301744800
pl.Bema	51.1166631500	17.0417125500
RODBajki	51.0825281300	17.0343704600
Glinianki	51.1380635300	16.9349894600
Pasikurowice-skrzy.Malinowa	51.2097949200	17.1039922700
Bogusławice	50.9978560000	17.1049720000
Kutrzeby	51.0523518500	17.0194239600
Słowiańska	51.1240128000	17.0427107000
Dworska	51.1436063900	16.9534481200
Bzowa(CentrumZajezdnia)	51.0976554000	16.9930907400
SZYMANÓW	51.1941474000	17.0188466100
Bujwida	51.1133642500	17.0667942100
MuchobórWielki(Roślinna)	51.1017604300	16.9439777200
Zajazdowa	51.1480948200	16.8653655100
Broniewskiego	51.1359043600	17.0353272200
DomaszczynKościół	51.1880685700	17.1647516000
GóraKapliczna	51.1515126800	16.9929223200
BARDZKA	51.0834758500	17.0492901000
Kasprowicza	51.1374410800	17.0529068200
WzgórzePartyzantów	51.1042801600	17.0374018900
pl.Srebrny	51.0984416500	16.9961696100
Solskiego	51.0812013100	16.9677037700
Lawendowa	51.1697220000	17.0004870000
Pereca	51.1011171600	17.0080775100
Dworska	51.1437776400	16.9529776600
pl.Srebrny	51.0984093200	16.9954765200
Odolanowska	51.1662150000	17.1283820000
BARDZKA	51.0827794400	17.0508081600
UniwersytetEkonomiczny	51.0891316000	17.0284641700
FAT	51.0947030200	16.9809392200
Dobroszycka	51.1513435300	17.1266710100
